1 epoch, LR 0.001000, LOSS 5.426044, ACC 25.68%, EER 2.01%, bestEER 2.01%
2 epoch, LR 0.000970, LOSS 2.909606, ACC 48.76%, EER 2.54%, bestEER 2.01%
3 epoch, LR 0.000941, LOSS 2.428030, ACC 56.53%, EER 1.77%, bestEER 1.77%
4 epoch, LR 0.000913, LOSS 2.168870, ACC 61.00%, EER 1.58%, bestEER 1.58%
5 epoch, LR 0.000885, LOSS 1.999209, ACC 63.93%, EER 1.44%, bestEER 1.44%
6 epoch, LR 0.000859, LOSS 1.880663, ACC 66.07%, EER 1.38%, bestEER 1.38%
7 epoch, LR 0.000833, LOSS 1.784653, ACC 67.76%, EER 1.31%, bestEER 1.31%
8 epoch, LR 0.000808, LOSS 1.705543, ACC 69.19%, EER 1.36%, bestEER 1.31%
9 epoch, LR 0.000784, LOSS 1.643354, ACC 70.26%, EER 1.21%, bestEER 1.21%
10 epoch, LR 0.000760, LOSS 1.586886, ACC 71.30%, EER 1.17%, bestEER 1.17%
11 epoch, LR 0.000737, LOSS 1.544340, ACC 72.10%, EER 1.13%, bestEER 1.13%
12 epoch, LR 0.000715, LOSS 1.497970, ACC 72.95%, EER 1.15%, bestEER 1.13%
13 epoch, LR 0.000694, LOSS 1.459683, ACC 73.61%, EER 1.04%, bestEER 1.04%
14 epoch, LR 0.000673, LOSS 1.428820, ACC 74.18%, EER 1.11%, bestEER 1.04%
15 epoch, LR 0.000653, LOSS 1.400529, ACC 74.67%, EER 1.07%, bestEER 1.04%
16 epoch, LR 0.000633, LOSS 1.370159, ACC 75.21%, EER 1.13%, bestEER 1.04%
17 epoch, LR 0.000614, LOSS 1.345590, ACC 75.67%, EER 1.04%, bestEER 1.04%
18 epoch, LR 0.000596, LOSS 1.321259, ACC 76.05%, EER 1.13%, bestEER 1.04%
19 epoch, LR 0.000578, LOSS 1.292884, ACC 76.59%, EER 1.12%, bestEER 1.04%
20 epoch, LR 0.000561, LOSS 1.275225, ACC 76.90%, EER 1.14%, bestEER 1.04%
21 epoch, LR 0.000544, LOSS 1.257890, ACC 77.23%, EER 1.03%, bestEER 1.03%
22 epoch, LR 0.000527, LOSS 1.240241, ACC 77.58%, EER 1.05%, bestEER 1.03%
23 epoch, LR 0.000512, LOSS 1.220460, ACC 77.91%, EER 1.09%, bestEER 1.03%
24 epoch, LR 0.000496, LOSS 1.206104, ACC 78.17%, EER 1.08%, bestEER 1.03%
25 epoch, LR 0.000481, LOSS 1.189731, ACC 78.44%, EER 1.08%, bestEER 1.03%
26 epoch, LR 0.000467, LOSS 1.175705, ACC 78.69%, EER 1.11%, bestEER 1.03%
27 epoch, LR 0.000453, LOSS 1.160492, ACC 79.01%, EER 1.02%, bestEER 1.02%
28 epoch, LR 0.000439, LOSS 1.147973, ACC 79.19%, EER 1.11%, bestEER 1.02%
29 epoch, LR 0.000426, LOSS 1.135090, ACC 79.45%, EER 1.05%, bestEER 1.02%
30 epoch, LR 0.000413, LOSS 1.125260, ACC 79.58%, EER 1.17%, bestEER 1.02%
31 epoch, LR 0.000401, LOSS 1.111216, ACC 79.87%, EER 1.10%, bestEER 1.02%
32 epoch, LR 0.000389, LOSS 1.101308, ACC 80.05%, EER 1.04%, bestEER 1.02%
33 epoch, LR 0.000377, LOSS 1.092737, ACC 80.21%, EER 1.04%, bestEER 1.02%
34 epoch, LR 0.000366, LOSS 1.080838, ACC 80.44%, EER 1.13%, bestEER 1.02%
